id	messages	participants	attach	modifier	tier	systems	notes
m1p2	1	2	-	-	core	fmsg,email,whatsapp
m2p2	2	2	-	-	core	fmsg,email,whatsapp
m3p2	3	2	-	-	core	fmsg,email,whatsapp
m4p2	4	2	-	-	core	fmsg,email,whatsapp
m5p2	5	2	-	-	core	fmsg,email,whatsapp
m1p2a10k	1	2	attach-10KiB.bin	-	core	fmsg,email,whatsapp
m1p2a1m	1	2	attach-1MiB.bin	-	core	fmsg,email,whatsapp	whatsapp: sent as document to avoid transcoding
m1p5	1	5	-	-	core	fmsg,email,whatsapp	whatsapp: group of 5 (nearest equivalent)
m1p5a10k	1	5	attach-10KiB.bin	-	core	fmsg,email,whatsapp
m1p5a1m	1	5	attach-1MiB.bin	-	core	fmsg,email,whatsapp
m5p4	5	4	-	-	core	fmsg,email,whatsapp	whatsapp: only 2 automatable senders in group of 4
m1p2-fwd	1	2	-	fwd	core	fmsg,email	whatsapp: N/A — true forward not automatable (whatsapp-web.js/WA Web incompatibility); forward semantics differ regardless (no history transfer)
m1p2a1m-fwd	1	2	attach-1MiB.bin	fwd	core	fmsg,email	whatsapp: N/A — true forward not automatable (whatsapp-web.js/WA Web incompatibility); forward semantics differ regardless (no history transfer)
m3p2-br	3	2	-	br	core	fmsg,email,whatsapp	whatsapp: quoted replies, flat thread semantics
m10p2	10	2	-	-	extended	fmsg,email,whatsapp	per-message growth analysis
m20p2	20	2	-	-	extended	fmsg,email,whatsapp	per-message growth analysis
m100p2	100	2	-	-	extended	fmsg,email,whatsapp	per-message growth analysis, long-thread stress
m10p3x	10	3	-	x	extended	fmsg,email	recipients on two different domains; whatsapp N/A (no cross-domain concept)
m1p2ascr	1	2	real-screenshot.png	-	extended	fmsg,email,whatsapp	realistic attachment: screenshot PNG ~336 kB
m1p2aimg	1	2	real-photo.jpg	-	extended	fmsg,email,whatsapp	realistic attachment: photo JPG ~1.0 MB; whatsapp sent as image (native pipeline may recompress)
m1p2adoc	1	2	real-document.odt	-	extended	fmsg,email,whatsapp	realistic attachment: document ODT ~377 kB
m1p3	1	3	-	-	extended	fmsg,email	two recipients: fmsg = remote domain + sender's own domain; email = two mailboxes at the same remote provider
m1p3x	1	3	-	x	extended	fmsg,email	recipients on two different remote domains; email = gmail + outlook
m10p4x	10	4	-	x	extended	fmsg,email	10-message round-robin across three domains
