system,scenario,reps,conversations,bytes_total_median,bytes_total_min,bytes_total_max,bytes_ab_median,bytes_ba_median,tls_bytes_median,duration_s_median,duration_s_min,duration_s_max,notes
whatsapp,m1p2,5,1,4782,4458,4982,3534,1248,3486,1.6954,1.2408,2.8509,
whatsapp,m2p2,5,1,6059,4707,6438,3992,2062,4223,4.1779,3.1009,4.2556,
whatsapp,m3p2,5,2,16582,14953,18958,11894,4562,13066,5.8974,5.4428,7.2348,
whatsapp,m4p2,5,2,17381,15520,20672,12605,5214,13688,6.3253,6.0507,6.368,
whatsapp,m5p2,5,2,26020,22704,27743,18509,6761,20968,6.8419,6.6273,7.1915,
whatsapp,m1p5,5,1,2106,1844,5188,1129,977,1134,1.9718,1.1956,2.7338,whatsapp: group of 5 (nearest equivalent)
whatsapp,m3p2-br,5,2,13916,12390,34993,8437,4597,10826,6.8302,6.2538,10.1523,"whatsapp: quoted replies, flat thread semantics"
whatsapp,m5p4,5,4,218840,13213,255512,209441,9399,211112,14.7419,10.7461,15.4247,whatsapp: only 2 automatable senders in group of 4
whatsapp,m10p2,5,4,75508,63481,76401,47347,24392,61648,25.8924,12.9672,53.5341,per-message growth analysis
whatsapp,m20p2,5,3,132432,121005,146052,88699,42945,107844,63.6502,56.5937,73.3848,per-message growth analysis
whatsapp,m1p2a10k,5,4,26848,25354,43353,23125,3723,24240,5.2004,4.9388,5.3855,
whatsapp,m1p2a1m,5,5,1138331,1134057,1153145,1125669,12662,1095449,6.5225,6.2915,7.3584,whatsapp: sent as document to avoid transcoding
whatsapp,m1p5a10k,5,5,23205,19660,28215,15967,3805,20517,5.2287,0.0818,6.3954,
whatsapp,m1p5a1m,5,5,1133777,1130659,1155909,1120341,13598,1090775,5.8949,0.9565,18.9709,
whatsapp,m200p2,5,4,1185944,1162466,1976466,777719,406237,922616,357.2406,89.5325,363.3821,"per-message growth analysis, long-thread stress"
whatsapp,m1p2ascr,5,2,45716,40049,438730,41493,4223,43298,4.1428,4.0198,4.3836,realistic attachment: screenshot PNG ~336 kB
whatsapp,m1p2aimg,5,2,59347,57875,969539,56076,3271,56971,4.3586,1.4403,4.8717,realistic attachment: photo JPG ~1.0 MB; whatsapp sent as image (native pipeline may recompress)
whatsapp,m1p2adoc,5,2,418612,415303,421353,412001,6055,401848,3.4754,1.2519,5.3675,realistic attachment: document ODT ~377 kB
fmsg,m200p2,1,200,998483,998483,998483,497509,500974,719159,5319.4477,5319.4477,5319.4477,"per-message growth analysis, long-thread stress"
email,m1p2,1,1,25026,25026,25026,8474,16552,21872,3.0309,3.0309,3.0309,
email,m2p2,1,3,35582,35582,35582,15709,19873,28838,21.5805,21.5805,21.5805,
email,m3p2,1,3,55374,55374,55374,23719,31655,46404,22.0655,22.0655,22.0655,
email,m4p2,1,4,70827,70827,70827,31263,39564,58685,33.0247,33.0247,33.0247,
email,m5p2,1,5,92185,92185,92185,40333,51852,76835,39.1347,39.1347,39.1347,
email,m1p2a10k,1,1,35416,35416,35416,22774,12642,31392,2.9734,2.9734,2.9734,
email,m1p2a1m,1,1,1523828,1523828,1523828,1476488,47340,1457842,10.1834,10.1834,10.1834,whatsapp: sent as document to avoid transcoding
email,m1p5,1,1,20928,20928,20928,8304,12624,17384,3.3068,3.3068,3.3068,whatsapp: group of 5 (nearest equivalent)
email,m1p5a10k,1,1,36337,36337,36337,23170,13167,31797,3.6363,3.6363,3.6363,
email,m1p5a1m,1,1,1527479,1527479,1527479,1476830,50649,1458265,11.1722,11.1722,11.1722,
email,m5p4,1,5,92077,92077,92077,40662,51415,76391,30.033,30.033,30.033,whatsapp: only 2 automatable senders in group of 4
email,m1p2-fwd,1,2,40188,40188,40188,16038,24150,34078,10.8075,10.8075,10.8075,whatsapp: N/A — true forward not automatable (whatsapp-web.js/WA Web incompatibility); forward semantics differ regardless (no history transfer)
email,m1p2a1m-fwd,1,2,3049024,3049024,3049024,2952104,96920,2915826,26.8493,26.8493,26.8493,whatsapp: N/A — true forward not automatable (whatsapp-web.js/WA Web incompatibility); forward semantics differ regardless (no history transfer)
email,m3p2-br,1,3,49794,49794,49794,22785,27009,40560,21.2794,21.2794,21.2794,"whatsapp: quoted replies, flat thread semantics"
email,m10p2,1,10,186593,186593,186593,82996,103597,155317,77.5551,77.5551,77.5551,per-message growth analysis
email,m20p2,1,20,425232,425232,425232,194024,231208,359206,125.5762,125.5762,125.5762,per-message growth analysis
email,m10p3x,1,15,259838,259838,259838,120545,139293,224610,69.6266,69.6266,69.6266,recipients on two different domains; whatsapp N/A (no cross-domain concept)
email,m1p2ascr,1,1,505833,505833,505833,480519,25314,478589,5.1875,5.1875,5.1875,realistic attachment: screenshot PNG ~336 kB
email,m1p2aimg,1,1,1484294,1484294,1484294,1437992,46302,1420618,9.8322,9.8322,9.8322,realistic attachment: photo JPG ~1.0 MB; whatsapp sent as image (native pipeline may recompress)
email,m1p2adoc,1,1,565835,565835,565835,538901,26934,535231,6.1158,6.1158,6.1158,realistic attachment: document ODT ~377 kB
